cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
alveolar macrophage,droplet,Limb_Muscle,1,0
alveolar macrophage,droplet,Lung,0,337
alveolar macrophage,droplet,Lung,1,8
alveolar macrophage,droplet,Mammary_Gland,0,0
alveolar macrophage,droplet,Mammary_Gland,1,0
alveolar macrophage,droplet,Marrow,0,0
alveolar macrophage,droplet,Marrow,1,0
alveolar macrophage,droplet,Spleen,0,0
alveolar macrophage,droplet,Spleen,1,0
alveolar macrophage,droplet,Thymus,0,0
alveolar macrophage,droplet,Thymus,1,0
immature T cell,FACS,Kidney,0,0
immature T cell,FACS,Kidney,1,0
immature T cell,FACS,Limb_Muscle,0,0
immature T cell,FACS,Limb_Muscle,1,0
immature T cell,FACS,Lung,0,0
immature T cell,FACS,Lung,1,0
immature T cell,FACS,Mammary_Gland,0,0
immature T cell,FACS,Mammary_Gland,1,0
immature T cell,FACS,Marrow,0,0
immature T cell,FACS,Marrow,1,0
immature T cell,FACS,Spleen,0,0
immature T cell,FACS,Spleen,1,0
immature T cell,FACS,Thymus,0,0
immature T cell,FACS,Thymus,1,0
immature T cell,droplet,Kidney,0,0
immature T cell,droplet,Kidney,1,0
immature T cell,droplet,Limb_Muscle,0,0
immature T cell,droplet,Limb_Muscle,1,0
immature T cell,droplet,Lung,0,0
immature T cell,droplet,Lung,1,0
immature T cell,droplet,Mammary_Gland,0,0
immature T cell,droplet,Mammary_Gland,1,0
immature T cell,droplet,Marrow,0,0
immature T cell,droplet,Marrow,1,0
immature T cell,droplet,Spleen,0,0
immature T cell,droplet,Spleen,1,0
immature T cell,droplet,Thymus,0,1354
immature T cell,droplet,Thymus,1,0
macrophage,FACS,Kidney,0,0
macrophage,FACS,Kidney,1,0
macrophage,FACS,Limb_Muscle,0,45
macrophage,FACS,Limb_Muscle,1,0
macrophage,FACS,Lung,0,0
macrophage,FACS,Lung,1,0
macrophage,FACS,Mammary_Gland,0,0
macrophage,FACS,Mammary_Gland,1,0
macrophage,FACS,Marrow,0,0
macrophage,FACS,Marrow,1,0
macrophage,FACS,Spleen,0,0
macrophage,FACS,Spleen,1,0
macrophage,FACS,Thymus,0,0
macrophage,FACS,Thymus,1,0
macrophage,droplet,Kidney,0,139
macrophage,droplet,Kidney,1,0
macrophage,droplet,Limb_Muscle,0,290
macrophage,droplet,Limb_Muscle,1,18
macrophage,droplet,Lung,0,0
macrophage,droplet,Lung,1,0
macrophage,droplet,Mammary_Gland,0,186
macrophage,droplet,Mammary_Gland,1,0
macrophage,droplet,Marrow,0,223
macrophage,droplet,Marrow,1,0
macrophage,droplet,Spleen,0,464
macrophage,droplet,Spleen,1,0
macrophage,droplet,Thymus,0,0
macrophage,droplet,Thymus,1,0
mast cell,FACS,Kidney,0,0
mast cell,FACS,Kidney,1,0
mast cell,FACS,Limb_Muscle,0,0
mast cell,FACS,Limb_Muscle,1,0
mast cell,FACS,Lung,0,0
mast cell,FACS,Lung,1,0
mast cell,FACS,Mammary_Gland,0,0
mast cell,FACS,Mammary_Gland,1,0
mast cell,FACS,Marrow,0,0
mast cell,FACS,Marrow,1,0
mast cell,FACS,Spleen,0,0
mast cell,FACS,Spleen,1,0
mast cell,FACS,Thymus,0,0
mast cell,FACS,Thymus,1,0
mast cell,droplet,Kidney,0,0
mast cell,droplet,Kidney,1,0
mast cell,droplet,Limb_Muscle,0,0
mast cell,droplet,Limb_Muscle,1,0
mast cell,droplet,Lung,0,24
mast cell,droplet,Lung,1,0
mast cell,droplet,Mammary_Gland,0,0
mast cell,droplet,Mammary_Gland,1,0
mast cell,droplet,Marrow,0,0
mast cell,droplet,Marrow,1,0
mast cell,droplet,Spleen,0,0
mast cell,droplet,Spleen,1,0
mast cell,droplet,Thymus,0,0
mast cell,droplet,Thymus,1,0
